id,batch_id,event_type,target_temperature_c,target_stirrer_rpm,target_shake_speed_cpm,reason,created_at,previous_hash,event_hash
13689,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:56:00.138658879+00:00,,
13688,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:58.091171718+00:00,,
13687,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:56.051725475+00:00,,
13686,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:53.969129447+00:00,,
13685,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:51.917272966+00:00,,
13684,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:49.872045330+00:00,,
13683,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:47.820508578+00:00,,
13682,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:45.772596850+00:00,,
13681,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:43.728842476+00:00,,
13680,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:41.674714347+00:00,,
13679,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:39.625230231+00:00,,
13678,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:37.581547988+00:00,,
13677,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:35.546461506+00:00,,
13676,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:33.507217036+00:00,,
13675,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:31.418751201+00:00,,
13674,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:29.363368111+00:00,,
13673,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:27.323555357+00:00,,
13672,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:25.286474169+00:00,,
13671,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:23.224033517+00:00,,
13670,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:21.167659261+00:00,,
13669,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:19.126282490+00:00,,
13668,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:17.080225478+00:00,,
13667,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:14.977622274+00:00,,
13666,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:11.621362791+00:00,,
13665,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:09.568817750+00:00,,
13664,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:07.521687458+00:00,,
13663,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:05.479226500+00:00,,
13662,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:03.435387319+00:00,,
13661,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:55:01.107461046+00:00,,
13660,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:59.038400046+00:00,,
13659,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:56.980624182+00:00,,
13658,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:54.939345807+00:00,,
13657,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:52.896166160+00:00,,
13656,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:50.859288584+00:00,,
13655,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:48.817695816+00:00,,
13654,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:46.774794167+00:00,,
13653,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:44.728688597+00:00,,
13652,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:42.687406095+00:00,,
13651,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:40.636905593+00:00,,
13650,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:38.594586139+00:00,,
13649,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:36.558299995+00:00,,
13648,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:34.518348779+00:00,,
13647,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:31.705480198+00:00,,
13646,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:29.667453710+00:00,,
13645,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:27.627365782+00:00,,
